iter	Logloss
0	0.6740769431
1	0.6579642368
2	0.6423793244
3	0.6281337532
4	0.6171732321
5	0.6071131356
6	0.5976586617
7	0.5896390403
8	0.5814678181
9	0.575164625
10	0.5686933357
11	0.5633229603
12	0.5587468345
13	0.5537393426
14	0.5497347746
15	0.546428611
16	0.543760976
17	0.54109176
18	0.5384776998
19	0.5363831106
20	0.5339879626
21	0.5323077451
22	0.5307393342
23	0.5293978047
24	0.5280536039
25	0.5265474957
26	0.5250430719
27	0.5240463237
28	0.5228831953
29	0.5219049052
30	0.5211263775
31	0.5204491415
32	0.5194994668
33	0.5189545381
34	0.518324724
35	0.5176472788
36	0.5171150616
37	0.5165884436
38	0.5160007138
39	0.5156173065
40	0.5152500401
41	0.5148249491
42	0.5144380129
43	0.5141072863
44	0.5138726583
45	0.5135613803
46	0.5132216957
47	0.5128340999
48	0.5125176893
49	0.5122950544
50	0.5120080477
51	0.511803429
52	0.5115329112
53	0.5113467597
54	0.5111779382
55	0.5108904875
56	0.5105811494
57	0.5104593702
58	0.5102881355
59	0.5101967775
60	0.5099706481
61	0.5098236345
62	0.5095941604
63	0.50946566
64	0.5093552032
65	0.5092037953
66	0.5090640395
67	0.5089054871
68	0.5088149079
69	0.5086965945
70	0.5085565003
71	0.5084508157
72	0.5083018704
73	0.5082133086
74	0.5081330067
75	0.5079539982
76	0.5077888761
77	0.5076939806
78	0.5076317724
79	0.5075454313
80	0.5074298892
81	0.5073260077
82	0.5071838869
83	0.507115331
84	0.5070161499
85	0.5069631044
86	0.5069114569
87	0.5068510338
88	0.5067240597
89	0.5066611188
90	0.506614549
91	0.5065245802
92	0.5064802584
93	0.506416005
94	0.5063406532
95	0.5062405867
96	0.5061863465
97	0.5060761588
98	0.505982009
99	0.50592337
100	0.50581619
101	0.5057541438
102	0.5056914628
103	0.5056387101
104	0.5055536997
105	0.5055232921
106	0.5054296925
107	0.5053412317
108	0.5052568268
109	0.5052306304
110	0.5051326843
111	0.5050476513
112	0.5050015985
113	0.5049501286
114	0.5048966201
115	0.5048541599
116	0.5047877626
117	0.5047259928
118	0.5046871757
119	0.5046396902
120	0.504584633
121	0.5045121962
122	0.5044543713
123	0.5044182604
124	0.5043454187
125	0.5042887225
126	0.5041880499
127	0.5041447194
128	0.5041039334
129	0.5040249567
130	0.5039583253
131	0.5038967993
132	0.5038517116
133	0.5038242415
134	0.503754785
135	0.5037039893
136	0.5036585899
137	0.5035619479
138	0.5035385244
139	0.5035077886
140	0.5034527268
141	0.503389182
142	0.503345162
143	0.5032809123
144	0.5032372351
145	0.503191714
146	0.5031604484
147	0.503098802
148	0.5030695724
149	0.5030337532
150	0.5029665435
151	0.5029305175
152	0.5028673342
153	0.5028128184
154	0.5027882043
155	0.5027428145
156	0.5026991404
157	0.502663077
158	0.5026242352
159	0.502583752
160	0.5025301107
161	0.502498034
162	0.5024752185
163	0.5023976938
164	0.5022955003
165	0.5022287705
166	0.5022021047
167	0.5021832058
168	0.5021110892
169	0.5020897036
170	0.5020350166
171	0.5019941921
172	0.5019469349
173	0.5019000888
174	0.5018660058
175	0.5018376021
176	0.501803223
177	0.5017617927
178	0.5017206232
179	0.5016738659
180	0.501641764
181	0.5016032253
182	0.5015663344
183	0.5015142963
184	0.5014783256
185	0.5014399429
186	0.501381423
187	0.5013504866
188	0.5013220539
189	0.5012894612
190	0.5012659466
191	0.5012243761
192	0.5011576686
193	0.5011171908
194	0.5010898369
195	0.5010558286
196	0.5009874889
197	0.5009669629
198	0.5009389021
199	0.5009038641
200	0.5008345332
201	0.5007847619
202	0.5007563091
203	0.5007329827
204	0.5006553644
205	0.5006165775
206	0.5005763395
207	0.5005296592
208	0.5005101371
209	0.5004851623
210	0.5004523934
211	0.5004316917
212	0.5003871691
213	0.5003585586
214	0.5003171276
215	0.5002511994
216	0.5002172024
217	0.5001567265
218	0.5001154864
219	0.5000734776
220	0.5000282261
221	0.4999608188
222	0.4999102146
223	0.4998924776
224	0.4998787461
225	0.499812926
226	0.4997769212
227	0.4997543407
228	0.4997353364
229	0.4996902982
230	0.4996503095
231	0.4996003764
232	0.4995781689
233	0.4995253985
234	0.4995083019
235	0.4994550508
236	0.4994131365
237	0.4993624349
238	0.4993100078
239	0.4992371733
240	0.4992129445
241	0.4991806719
242	0.4991149318
243	0.4990898168
244	0.4990670853
245	0.4990412294
246	0.4989884832
247	0.4989382826
248	0.4988933816
249	0.4988627145
250	0.4988383751
251	0.4988234824
252	0.4987845576
253	0.4987497943
254	0.4987245246
255	0.4986588598
256	0.4986051361
257	0.4985337127
258	0.4984957156
259	0.4984482226
260	0.4984179099
261	0.4983983879
262	0.4983711461
263	0.4983239931
264	0.4982777484
265	0.4982450639
266	0.4982079783
267	0.4981541651
268	0.498091102
269	0.4980511628
270	0.4980277556
271	0.4979703103
272	0.4979004757
273	0.4978743888
274	0.4978387057
275	0.4978002991
276	0.4977837979
277	0.4977370839
278	0.4976841731
279	0.4976567434
280	0.4976292474
281	0.4975918956
282	0.4975657313
283	0.4975149269
284	0.4974594664
285	0.4974313459
286	0.4974051463
287	0.4973761946
288	0.4973577599
289	0.4973200422
290	0.497280192
291	0.4972479345
292	0.4972128475
293	0.4971891633
294	0.4971480073
295	0.4971264969
296	0.4970943715
297	0.4970494445
298	0.4970253316
299	0.4969976803
300	0.4969824085
301	0.4969329262
302	0.4969045096
303	0.4968374018
304	0.4968133674
305	0.4967628328
306	0.4967352641
307	0.496707913
308	0.4966648266
309	0.4966395612
310	0.4966039484
311	0.4965736367
312	0.4965354645
313	0.4964866387
314	0.4964635863
315	0.4964199095
316	0.4963826249
317	0.4963469875
318	0.49631597
319	0.4962565419
320	0.4962121674
321	0.4961925367
322	0.4961427386
323	0.4961039606
324	0.4960723063
325	0.4960096548
326	0.4959664907
327	0.4959492563
328	0.4958979375
329	0.495855104
330	0.4958268518
331	0.4957976621
332	0.4957782536
333	0.4957308069
334	0.495701294
335	0.4956839981
336	0.4956656832
337	0.4956342208
338	0.4955881731
339	0.4955447962
340	0.4955195044
341	0.4954949273
342	0.4954616144
343	0.4954326436
344	0.4953872691
345	0.4953417373
346	0.4952870878
347	0.4952488924
348	0.495202351
349	0.4951773929
350	0.4951473281
351	0.4951257718
352	0.4951067716
353	0.4950729246
354	0.4950335491
355	0.4949964372
356	0.4949708177
357	0.4949219307
358	0.4949021444
359	0.4948724427
360	0.4948437044
361	0.4948051782
362	0.4947732888
363	0.4947371015
364	0.4946927771
365	0.4946565888
366	0.4946189848
367	0.4945959631
368	0.4945638848
369	0.494516005
370	0.4944976648
371	0.494482959
372	0.494452331
373	0.4944058597
374	0.494380758
375	0.494358698
376	0.49432488
377	0.4942941058
378	0.4942518256
379	0.4942285164
380	0.4941972044
381	0.4941711097
382	0.4941469336
383	0.4941229786
384	0.4940849414
385	0.4940537323
386	0.4940316918
387	0.4940068014
388	0.4939716331
389	0.4939459605
390	0.4939290261
391	0.493916726
392	0.4938875966
393	0.4938629729
394	0.4938390941
395	0.4938102582
396	0.4937881741
397	0.4937517094
398	0.4936789346
399	0.4936613778
400	0.4936366355
401	0.4936016403
402	0.4935505656
403	0.4935345573
404	0.4935020672
405	0.4934726836
406	0.4934592275
407	0.4934307271
408	0.4934111059
409	0.4933903373
410	0.4933529912
411	0.4933348151
412	0.4933184465
413	0.4932812484
414	0.4932631796
415	0.4932320838
416	0.4932098862
417	0.4931646979
418	0.4931361238
419	0.493101619
420	0.4930819484
421	0.4930510328
422	0.4930283508
423	0.4929944625
424	0.4929701581
425	0.4929407679
426	0.4929186073
427	0.4929012151
428	0.4928857891
429	0.4928633456
430	0.4928455801
431	0.4928245519
432	0.4927808625
433	0.4927633141
434	0.4927425014
435	0.4927240886
436	0.49267933
437	0.4926531205
438	0.4926259022
439	0.4925852882
440	0.4925331766
441	0.4925046113
442	0.4924711305
443	0.4924311635
444	0.4924124063
445	0.4923963073
446	0.4923714778
447	0.4923472479
448	0.4923140206
449	0.4922884457
450	0.4922674214
451	0.4922332957
452	0.4922170762
453	0.4921862223
454	0.4921679417
455	0.4921520378
456	0.4921286381
457	0.4920857684
458	0.4920555905
459	0.4920363061
460	0.4920063353
461	0.4919847103
462	0.491968652
463	0.4919467636
464	0.4919221267
465	0.4918938125
466	0.4918620371
467	0.4918401559
468	0.4918174038
469	0.4917895516
470	0.491759559
471	0.4917262459
472	0.4916985871
473	0.4916770272
474	0.4916579632
475	0.491632153
476	0.491594178
477	0.4915757141
478	0.4915536805
479	0.4915249595
480	0.4915027915
481	0.4914770943
482	0.4914522827
483	0.4914178237
484	0.4913877825
485	0.4913603104
486	0.4913232884
487	0.4912865433
488	0.4912708125
489	0.4912637487
490	0.491231358
491	0.4912175701
492	0.4911865247
493	0.4911582441
494	0.4911240125
495	0.4911030652
496	0.4910646647
497	0.4910291032
498	0.4910118789
499	0.4909886066
