iter	Passed	Remaining
0	11	5965
1	21	5352
2	30	5058
3	43	5395
4	53	5298
5	64	5270
6	74	5269
7	85	5229
8	94	5169
9	105	5154
10	116	5178
11	127	5180
12	139	5209
13	149	5175
14	160	5205
15	172	5207
16	180	5134
17	192	5163
18	204	5177
19	216	5202
20	229	5233
21	241	5253
22	256	5309
23	268	5321
24	277	5281
25	290	5302
26	303	5320
27	313	5292
28	324	5273
29	337	5288
30	348	5267
31	375	5489
32	387	5479
33	398	5463
34	409	5437
35	423	5455
36	435	5448
37	447	5445
38	466	5515
39	477	5489
40	506	5664
41	525	5727
42	537	5713
43	550	5700
44	559	5657
45	568	5612
46	578	5571
47	588	5540
48	598	5510
49	608	5476
50	620	5466
51	631	5441
52	642	5417
53	652	5388
54	663	5371
55	674	5350
56	685	5328
57	696	5304
58	706	5281
59	717	5258
60	727	5238
61	738	5219
62	749	5201
63	760	5179
64	770	5159
65	790	5196
66	800	5175
67	811	5157
68	821	5131
69	831	5108
70	843	5094
71	868	5161
72	880	5151
73	893	5143
74	907	5143
75	921	5142
76	936	5146
77	955	5171
78	969	5168
79	979	5139
80	990	5121
81	1000	5100
82	1012	5084
83	1038	5144
84	1049	5122
85	1059	5101
86	1069	5078
87	1080	5058
88	1091	5038
89	1105	5035
90	1121	5039
91	1132	5024
92	1144	5007
93	1154	4987
94	1168	4981
95	1186	4992
96	1201	4990
97	1211	4969
98	1221	4947
99	1231	4926
100	1242	4906
101	1252	4885
102	1262	4867
103	1272	4846
104	1284	4833
105	1295	4816
106	1306	4797
107	1315	4776
108	1327	4760
109	1338	4746
110	1349	4730
111	1358	4707
112	1369	4689
113	1379	4669
114	1389	4651
115	1398	4629
116	1411	4619
117	1421	4601
118	1431	4584
119	1441	4566
120	1453	4551
121	1464	4538
122	1475	4522
123	1485	4504
124	1496	4488
125	1506	4471
126	1516	4454
127	1528	4442
128	1539	4428
129	1551	4414
130	1561	4397
131	1571	4381
132	1581	4362
133	1591	4346
134	1601	4329
135	1611	4313
136	1622	4300
137	1632	4282
138	1645	4272
139	1660	4269
140	1670	4253
141	1681	4238
142	1691	4222
143	1703	4212
144	1715	4200
145	1726	4186
146	1737	4171
147	1748	4159
148	1759	4143
149	1779	4152
150	1790	4137
151	1800	4123
152	1810	4106
153	1820	4090
154	1830	4075
155	1842	4062
156	1855	4054
157	1867	4042
158	1877	4026
159	1888	4012
160	1903	4008
161	1922	4010
162	1934	3999
163	1945	3984
164	1958	3976
165	1968	3961
166	1980	3949
167	1992	3937
168	2003	3924
169	2013	3908
170	2026	3899
171	2038	3887
172	2049	3874
173	2059	3859
174	2069	3843
175	2079	3828
176	2089	3813
177	2099	3798
178	2112	3787
179	2121	3771
180	2131	3757
181	2141	3741
182	2151	3727
183	2164	3717
184	2174	3702
185	2184	3688
186	2194	3672
187	2204	3658
188	2214	3644
189	2224	3629
190	2237	3619
191	2247	3605
192	2257	3590
193	2277	3592
194	2288	3579
195	2299	3566
196	2311	3554
197	2320	3539
198	2330	3525
199	2340	3511
200	2351	3497
201	2361	3484
202	2376	3476
203	2387	3463
204	2399	3453
205	2410	3439
206	2421	3427
207	2432	3414
208	2444	3403
209	2456	3392
210	2468	3380
211	2478	3366
212	2489	3354
213	2500	3341
214	2516	3335
215	2528	3324
216	2538	3310
217	2548	3296
218	2568	3296
219	2594	3302
